Name_p1,Type_1_p1,Type_2_p1,HP_p1,Attack_p1,Defense_p1,SpAtk_p1,SpDef_p1,Speed_p1,Generation_p1,Legendary_p1,Name_p2,Type_1_p2,Type_2_p2,HP_p2,Attack_p2,Defense_p2,SpAtk_p2,SpDef_p2,Speed_p2,Generation_p2,Legendary_p2,label
694,17,15,54.0,78.0,103.0,53.0,45.0,22.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
191,3,7,50.0,65.0,107.0,105.0,107.0,86.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
151,2,17,61.0,84.0,65.0,70.0,70.0,70.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
219,2,10,68.0,90.0,65.0,50.0,55.0,82.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
381,1,14,86.0,92.0,88.0,68.0,75.0,73.0,6.0,0,555,14,4,28,25,25,45,35,40,3,0,0
310,15,18,60.0,115.0,105.0,65.0,70.0,80.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
461,14,4,20.0,25.0,45.0,70.0,90.0,60.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
515,8,9,43.0,70.0,48.0,50.0,60.0,38.0,6.0,0,555,14,4,28,25,25,45,35,40,3,0,1
549,17,10,95.0,85.0,85.0,65.0,65.0,35.0,2.0,0,555,14,4,28,25,25,45,35,40,3,0,1
662,12,17,85.0,110.0,90.0,45.0,90.0,80.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
48,11,17,55.0,69.0,85.0,32.0,35.0,28.0,6.0,0,555,14,4,28,25,25,45,35,40,3,0,1
749,3,18,50.0,65.0,107.0,105.0,107.0,86.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
44,14,17,75.0,75.0,75.0,125.0,95.0,40.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,1
435,2,7,95.0,145.0,130.0,120.0,90.0,120.0,3.0,0,555,14,4,28,25,25,45,35,40,3,0,0
619,9,17,75.0,98.0,63.0,98.0,63.0,101.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
481,13,17,46.0,57.0,40.0,40.0,40.0,50.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
312,0,13,45.0,25.0,50.0,25.0,25.0,35.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,1
567,2,6,100.0,120.0,100.0,150.0,120.0,90.0,5.0,1,555,14,4,28,25,25,45,35,40,3,0,0
173,13,17,35.0,60.0,44.0,40.0,54.0,55.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
468,0,7,70.0,94.0,50.0,94.0,50.0,66.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
115,15,17,67.0,125.0,40.0,30.0,30.0,58.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
58,12,17,95.0,110.0,95.0,40.0,95.0,55.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
780,1,17,40.0,65.0,40.0,80.0,40.0,65.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
182,17,16,84.0,86.0,88.0,111.0,101.0,60.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
433,2,7,105.0,180.0,100.0,180.0,100.0,115.0,3.0,1,555,14,4,28,25,25,45,35,40,3,0,0
772,0,7,86.0,76.0,86.0,116.0,56.0,95.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
772,0,7,86.0,76.0,86.0,116.0,56.0,95.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
188,9,14,60.0,40.0,80.0,60.0,45.0,40.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,1
392,17,10,70.0,85.0,70.0,60.0,70.0,50.0,3.0,0,555,14,4,28,25,25,45,35,40,3,0,0
271,8,13,45.0,50.0,45.0,115.0,55.0,95.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
425,3,17,70.0,75.0,80.0,135.0,80.0,135.0,3.0,0,555,14,4,28,25,25,45,35,40,3,0,0
633,17,14,90.0,65.0,65.0,40.0,40.0,15.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
228,8,13,60.0,65.0,60.0,130.0,75.0,110.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
396,5,14,30.0,40.0,55.0,40.0,55.0,60.0,3.0,0,555,14,4,28,25,25,45,35,40,3,0,0
782,1,2,72.0,85.0,70.0,65.0,70.0,58.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,1
45,16,14,40.0,55.0,80.0,35.0,60.0,30.0,3.0,0,555,14,4,28,25,25,45,35,40,3,0,1
349,12,17,110.0,85.0,95.0,80.0,95.0,50.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
743,1,7,70.0,55.0,75.0,45.0,65.0,60.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
363,17,9,80.0,70.0,70.0,90.0,100.0,70.0,3.0,0,555,14,4,28,25,25,45,35,40,3,0,0
196,17,17,85.0,105.0,100.0,79.0,83.0,78.0,2.0,0,555,14,4,28,25,25,45,35,40,3,0,0
10,17,17,165.0,75.0,80.0,40.0,45.0,65.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
51,15,18,42.0,52.0,67.0,39.0,56.0,50.0,6.0,0,555,14,4,28,25,25,45,35,40,3,0,0
51,15,18,42.0,52.0,67.0,39.0,56.0,50.0,6.0,0,555,14,4,28,25,25,45,35,40,3,0,0
332,2,11,125.0,130.0,90.0,130.0,90.0,95.0,5.0,1,555,14,4,28,25,25,45,35,40,3,0,0
97,12,17,75.0,95.0,60.0,65.0,60.0,115.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
187,10,16,110.0,135.0,60.0,50.0,65.0,88.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
328,0,17,77.0,85.0,51.0,55.0,51.0,65.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
612,3,17,45.0,65.0,34.0,40.0,34.0,45.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
485,6,17,73.0,76.0,75.0,81.0,100.0,100.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
457,5,17,65.0,125.0,60.0,95.0,60.0,105.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
656,12,7,85.0,120.0,70.0,50.0,60.0,100.0,4.0,0,555,14,4,28,25,25,45,35,40,3,0,0
140,17,11,90.0,70.0,80.0,70.0,95.0,70.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
343,2,14,80.0,80.0,90.0,110.0,130.0,110.0,3.0,1,555,14,4,28,25,25,45,35,40,3,0,0
343,2,14,80.0,80.0,90.0,110.0,130.0,110.0,3.0,1,555,14,4,28,25,25,45,35,40,3,0,0
635,4,17,82.0,80.0,86.0,85.0,75.0,72.0,6.0,0,555,14,4,28,25,25,45,35,40,3,0,0
248,2,17,90.0,100.0,70.0,110.0,150.0,80.0,6.0,0,555,14,4,28,25,25,45,35,40,3,0,0
744,6,17,38.0,41.0,40.0,50.0,65.0,65.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
691,3,7,79.0,115.0,70.0,125.0,80.0,111.0,5.0,1,555,14,4,28,25,25,45,35,40,3,0,0
528,3,17,60.0,50.0,40.0,85.0,75.0,95.0,3.0,0,555,14,4,28,25,25,45,35,40,3,0,0
541,17,17,50.0,52.0,48.0,65.0,50.0,55.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
19,12,17,120.0,120.0,120.0,120.0,120.0,120.0,4.0,1,555,14,4,28,25,25,45,35,40,3,0,0
211,2,17,66.0,117.0,70.0,40.0,50.0,67.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
685,12,17,60.0,80.0,50.0,50.0,50.0,40.0,2.0,0,555,14,4,28,25,25,45,35,40,3,0,1
174,3,17,65.0,83.0,57.0,95.0,85.0,105.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
84,6,7,78.0,84.0,78.0,109.0,85.0,100.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
587,0,16,70.0,130.0,100.0,55.0,80.0,65.0,2.0,0,555,14,4,28,25,25,45,35,40,3,0,0
394,16,4,50.0,85.0,85.0,55.0,55.0,50.0,3.0,0,555,14,4,28,25,25,45,35,40,3,0,0
623,9,7,55.0,45.0,50.0,45.0,65.0,80.0,2.0,0,555,14,4,28,25,25,45,35,40,3,0,0
178,3,17,45.0,63.0,37.0,65.0,55.0,95.0,2.0,0,555,14,4,28,25,25,45,35,40,3,0,0
243,17,17,45.0,67.0,60.0,35.0,50.0,63.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
94,14,17,65.0,50.0,70.0,95.0,80.0,65.0,3.0,0,555,14,4,28,25,25,45,35,40,3,0,0
190,12,17,104.0,91.0,63.0,91.0,73.0,68.0,3.0,0,555,14,4,28,25,25,45,35,40,3,0,0
753,9,13,65.0,90.0,50.0,85.0,45.0,55.0,1.0,0,555,14,4,28,25,25,45,35,40,3,0,0
448,14,17,74.0,48.0,76.0,83.0,81.0,104.0,6.0,0,555,14,4,28,25,25,45,35,40,3,0,0
249,2,17,45.0,50.0,35.0,55.0,75.0,40.0,6.0,0,555,14,4,28,25,25,45,35,40,3,0,1
342,15,10,50.0,64.0,50.0,45.0,50.0,41.0,2.0,0,294,1,6,45,60,30,80,50,65,2,0,1
580,17,17,95.0,100.0,85.0,108.0,70.0,70.0,5.0,0,294,1,6,45,60,30,80,50,65,2,0,0
556,15,17,97.0,165.0,60.0,65.0,50.0,58.0,4.0,0,294,1,6,45,60,30,80,50,65,2,0,1
546,1,17,41.0,50.0,37.0,50.0,37.0,66.0,5.0,0,294,1,6,45,60,30,80,50,65,2,0,0
333,2,11,125.0,170.0,100.0,120.0,90.0,95.0,5.0,1,294,1,6,45,60,30,80,50,65,2,0,0
62,16,14,67.0,89.0,116.0,79.0,116.0,33.0,4.0,0,294,1,6,45,60,30,80,50,65,2,0,1
495,15,18,35.0,40.0,100.0,90.0,55.0,35.0,1.0,0,294,1,6,45,60,30,80,50,65,2,0,1
769,4,17,126.0,131.0,95.0,131.0,98.0,99.0,6.0,1,294,1,6,45,60,30,80,50,65,2,0,0
583,5,17,75.0,125.0,75.0,30.0,75.0,85.0,5.0,0,294,1,6,45,60,30,80,50,65,2,0,0
33,2,17,45.0,75.0,60.0,40.0,30.0,50.0,3.0,0,294,1,6,45,60,30,80,50,65,2,0,1
378,3,16,25.0,35.0,70.0,95.0,55.0,45.0,1.0,0,294,1,6,45,60,30,80,50,65,2,0,1
714,6,17,78.0,84.0,78.0,109.0,85.0,100.0,2.0,0,294,1,6,45,60,30,80,50,65,2,0,0
42,0,7,60.0,70.0,50.0,100.0,50.0,65.0,3.0,0,294,1,6,45,60,30,80,50,65,2,0,1
669,0,18,40.0,30.0,32.0,50.0,52.0,65.0,3.0,0,294,1,6,45,60,30,80,50,65,2,0,1
283,5,17,50.0,105.0,79.0,35.0,110.0,76.0,1.0,0,294,1,6,45,60,30,80,50,65,2,0,0
470,14,4,40.0,45.0,65.0,100.0,120.0,90.0,1.0,0,294,1,6,45,60,30,80,50,65,2,0,1
752,0,13,40.0,35.0,30.0,20.0,20.0,50.0,1.0,0,294,1,6,45,60,30,80,50,65,2,0,1
48,11,17,55.0,69.0,85.0,32.0,35.0,28.0,6.0,0,294,1,6,45,60,30,80,50,65,2,0,1
284,5,17,50.0,120.0,53.0,35.0,110.0,87.0,1.0,0,294,1,6,45,60,30,80,50,65,2,0,0
150,13,2,65.0,75.0,90.0,97.0,123.0,44.0,6.0,0,294,1,6,45,60,30,80,50,65,2,0,1
435,2,7,95.0,145.0,130.0,120.0,90.0,120.0,3.0,0,294,1,6,45,60,30,80,50,65,2,0,0
499,3,17,60.0,45.0,70.0,45.0,90.0,95.0,4.0,0,294,1,6,45,60,30,80,50,65,2,0,0
622,9,17,66.0,65.0,48.0,62.0,57.0,52.0,6.0,0,294,1,6,45,60,30,80,50,65,2,0,1
620,6,17,75.0,98.0,63.0,98.0,63.0,101.0,5.0,0,294,1,6,45,60,30,80,50,65,2,0,0
185,14,17,65.0,65.0,60.0,130.0,95.0,110.0,2.0,0,294,1,6,45,60,30,80,50,65,2,0,1
592,17,17,55.0,65.0,95.0,95.0,45.0,85.0,1.0,0,294,1,6,45,60,30,80,50,65,2,0,0
188,9,14,60.0,40.0,80.0,60.0,45.0,40.0,1.0,0,294,1,6,45,60,30,80,50,65,2,0,1
